NAME                INSTALLED                     FIXED IN                 TYPE  VULNERABILITY   SEVERITY    EPSS           RISK          
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-3358   Low         22.2% (95th)   6.7           
zlib1g              1:1.2.8.dfsg-2ubuntu4.1       1:1.2.8.dfsg-2ubuntu4.3  deb   CVE-2016-9841   Low         20.3% (95th)   6.1           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.6        deb   CVE-2018-18311  Medium      11.1% (93rd)   5.5           
apt                 1.2.25                        1.2.29ubuntu0.1          deb   CVE-2019-3462   High        7.4% (91st)    5.5           
libapt-pkg5.0       1.2.25                        1.2.29ubuntu0.1          deb   CVE-2019-3462   High        7.4% (91st)    5.5           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.6        deb   CVE-2018-18312  Medium      9.3% (92nd)    4.6           
libbz2-1.0          1.0.6-8                       1.0.6-8ubuntu0.1         deb   CVE-2016-3189   Low         15.1% (94th)   4.5           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2019-9169   Low         14.0% (94th)   4.2           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2019-9169   Low         14.0% (94th)   4.2           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2019-9169   Low         14.0% (94th)   4.2           
perl-base           5.22.1-9ubuntu0.2             (won't fix)              deb   CVE-2022-48522  Low         13.3% (93rd)   4.0           
zlib1g              1:1.2.8.dfsg-2ubuntu4.1       1:1.2.8.dfsg-2ubuntu4.3  deb   CVE-2016-9840   Low         13.0% (93rd)   3.9           
libncurses5         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19188  Medium      7.3% (91st)    3.6           
libncursesw5        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19188  Medium      7.3% (91st)    3.6           
libtinfo5           6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19188  Medium      7.3% (91st)    3.6           
ncurses-base        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19188  Medium      7.3% (91st)    3.6           
ncurses-bin         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19188  Medium      7.3% (91st)    3.6           
zlib1g              1:1.2.8.dfsg-2ubuntu4.1       1:1.2.8.dfsg-2ubuntu4.3  deb   CVE-2016-9842   Low         10.9% (93rd)   3.3           
zlib1g              1:1.2.8.dfsg-2ubuntu4.1       1:1.2.8.dfsg-2ubuntu4.3  deb   CVE-2016-9843   Low         9.2% (92nd)    2.8           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.15       deb   CVE-2019-1559   Medium      5.1% (89th)    2.5           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.15       deb   CVE-2019-1559   Medium      5.1% (89th)    2.5           
libncurses5         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19185  Medium      4.8% (89th)    2.4           
libncurses5         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19186  Medium      4.8% (89th)    2.4           
libncurses5         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19187  Medium      4.8% (89th)    2.4           
libncursesw5        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19185  Medium      4.8% (89th)    2.4           
libncursesw5        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19186  Medium      4.8% (89th)    2.4           
libncursesw5        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19187  Medium      4.8% (89th)    2.4           
libtinfo5           6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19185  Medium      4.8% (89th)    2.4           
libtinfo5           6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19186  Medium      4.8% (89th)    2.4           
libtinfo5           6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19187  Medium      4.8% (89th)    2.4           
ncurses-base        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19185  Medium      4.8% (89th)    2.4           
ncurses-base        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19186  Medium      4.8% (89th)    2.4           
ncurses-base        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19187  Medium      4.8% (89th)    2.4           
ncurses-bin         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19185  Medium      4.8% (89th)    2.4           
ncurses-bin         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19186  Medium      4.8% (89th)    2.4           
ncurses-bin         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19187  Medium      4.8% (89th)    2.4           
libncurses5         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19190  Medium      4.8% (88th)    2.4           
libncursesw5        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19190  Medium      4.8% (88th)    2.4           
libtinfo5           6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19190  Medium      4.8% (88th)    2.4           
ncurses-base        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19190  Medium      4.8% (88th)    2.4           
ncurses-bin         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19190  Medium      4.8% (88th)    2.4           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.6        deb   CVE-2018-18314  Medium      4.4% (88th)    2.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2021-3711   High        2.7% (85th)    2.0           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2021-3711   High        2.7% (85th)    2.0           
gnupg               1.4.20-1ubuntu3.1             1.4.20-1ubuntu3.3        deb   CVE-2017-7526   Medium      3.7% (87th)    1.9           
gpgv                1.4.20-1ubuntu3.1             1.4.20-1ubuntu3.3        deb   CVE-2017-7526   Medium      3.7% (87th)    1.9           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.14       deb   CVE-2018-0734   Low         6.1% (90th)    1.8           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.14       deb   CVE-2018-0734   Low         6.1% (90th)    1.8           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.6        deb   CVE-2018-18313  Medium      3.5% (87th)    1.8           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.3        deb   CVE-2018-6913   Medium      3.5% (86th)    1.7           
libpcre3            2:8.38-3.1                                             deb   CVE-2017-7186   Low         5.4% (89th)    1.6           
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16865  High        2.0% (83rd)    1.5           
libudev1            229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16865  High        2.0% (83rd)    1.5           
systemd             229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16865  High        2.0% (83rd)    1.5           
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.15         deb   CVE-2018-16865  High        2.0% (83rd)    1.5           
libsystemd0         229-4ubuntu21.1               (won't fix)              deb   CVE-2023-26604  Low         4.7% (88th)    1.4           
libudev1            229-4ubuntu21.1               (won't fix)              deb   CVE-2023-26604  Low         4.7% (88th)    1.4           
systemd             229-4ubuntu21.1               (won't fix)              deb   CVE-2023-26604  Low         4.7% (88th)    1.4           
systemd-sysv        229-4ubuntu21.1               (won't fix)              deb   CVE-2023-26604  Low         4.7% (88th)    1.4           
libprocps4          2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1123   Medium      2.8% (85th)    1.4           
procps              2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1123   Medium      2.8% (85th)    1.4           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.16       deb   CVE-2019-1551   Low         4.5% (88th)    1.4           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.16       deb   CVE-2019-1551   Low         4.5% (88th)    1.4           
libncurses5         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19189  Medium      2.5% (84th)    1.3           
libncursesw5        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19189  Medium      2.5% (84th)    1.3           
libtinfo5           6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19189  Medium      2.5% (84th)    1.3           
ncurses-base        6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19189  Medium      2.5% (84th)    1.3           
ncurses-bin         6.0+20160213-1ubuntu1         (won't fix)              deb   CVE-2020-19189  Medium      2.5% (84th)    1.3           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.9        deb   CVE-2020-10543  Low         3.9% (87th)    1.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-40735  Medium      2.0% (83rd)    1.0           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-40735  Medium      2.0% (83rd)    1.0           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-5363   Medium      2.0% (83rd)    1.0           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-5363   Medium      2.0% (83rd)    1.0           
libpcre3            2:8.38-3.1                                             deb   CVE-2017-6004   Low         3.3% (86th)    1.0           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.3         deb   CVE-2020-6096   Low         3.3% (86th)    1.0           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.3         deb   CVE-2020-6096   Low         3.3% (86th)    1.0           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.3         deb   CVE-2020-6096   Low         3.3% (86th)    1.0           
wget                1.17.1-1ubuntu1.3             1.17.1-1ubuntu1.5        deb   CVE-2019-5953   Medium      1.8% (81st)    0.9           
gnupg               1.4.20-1ubuntu3.1             1.4.20-1ubuntu3.2        deb   CVE-2018-12020  Medium      1.6% (80th)    0.8           
gpgv                1.4.20-1ubuntu3.1             1.4.20-1ubuntu3.2        deb   CVE-2018-12020  Medium      1.6% (80th)    0.8           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.3        deb   CVE-2018-6797   Medium      1.6% (80th)    0.8           
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15686  Medium      1.5% (80th)    0.8           
libudev1            229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15686  Medium      1.5% (80th)    0.8           
systemd             229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15686  Medium      1.5% (80th)    0.8           
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15686  Medium      1.5% (80th)    0.8           
liblz4-1            0.0~r131-2ubuntu2                                      deb   CVE-2019-17543  Low         2.0% (82nd)    0.6           
libbz2-1.0          1.0.6-8                       1.0.6-8ubuntu0.1         deb   CVE-2019-12900  Medium      1.2% (77th)    0.6           
libcap2             1:2.24-12                     (won't fix)              deb   CVE-2023-2603   Medium      1.1% (77th)    0.6           
libcap2-bin         1:2.24-12                     (won't fix)              deb   CVE-2023-2603   Medium      1.1% (77th)    0.6           
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4806   Low         1.9% (82nd)    0.6           
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4806   Low         1.9% (82nd)    0.6           
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-4806   Low         1.9% (82nd)    0.6           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-6129   Low         1.9% (82nd)    0.6           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-6129   Low         1.9% (82nd)    0.6           
perl-base           5.22.1-9ubuntu0.2             (won't fix)              deb   CVE-2023-31484  Medium      1.1% (77th)    0.6           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.3        deb   CVE-2018-6798   Medium      1.0% (76th)    0.5           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0401   Medium      0.9% (75th)    0.5           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0401   Medium      0.9% (75th)    0.5           
libseccomp2         2.3.1-2.1ubuntu2~16.04.1      2.4.1-0ubuntu0.16.04.2   deb   CVE-2019-9893   Medium      0.9% (75th)    0.5           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.16       deb   CVE-2019-1563   Low         1.4% (79th)    0.4           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.16       deb   CVE-2019-1563   Low         1.4% (79th)    0.4           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2017-18269  Medium      0.8% (73rd)    0.4           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2017-18269  Medium      0.8% (73rd)    0.4           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2017-18269  Medium      0.8% (73rd)    0.4           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0216   Medium      0.8% (72nd)    0.4           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0216   Medium      0.8% (72nd)    0.4           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2021-3712   Medium      0.7% (71st)    0.4           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2021-3712   Medium      0.7% (71st)    0.4           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-6485   Medium      0.7% (71st)    0.4           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-6485   Medium      0.7% (71st)    0.4           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-6485   Medium      0.7% (71st)    0.4           
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.6          deb   CVE-2018-15688  Medium      0.7% (71st)    0.4           
libudev1            229-4ubuntu21.1               229-4ubuntu21.6          deb   CVE-2018-15688  Medium      0.7% (71st)    0.4           
systemd             229-4ubuntu21.1               229-4ubuntu21.6          deb   CVE-2018-15688  Medium      0.7% (71st)    0.4           
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.6          deb   CVE-2018-15688  Medium      0.7% (71st)    0.4           
perl-base           5.22.1-9ubuntu0.2             5.22.1-9ubuntu0.3        deb   CVE-2017-6512   Low         1.2% (78th)    0.4           
libc-bin            2.23-0ubuntu10                                         deb   CVE-2021-35942  Low         1.2% (78th)    0.4           
libc6               2.23-0ubuntu10                                         deb   CVE-2021-35942  Low         1.2% (78th)    0.4           
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2021-35942  Low         1.2% (78th)    0.4           
gzip                1.6-4ubuntu1                  (won't fix)              deb   CVE-2022-1271   Medium      0.7% (71st)    0.4           
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6779   Medium      0.7% (71st)    0.4           
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6779   Medium      0.7% (71st)    0.4           
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2023-6779   Medium      0.7% (71st)    0.4           
libsystemd0         229-4ubuntu21.1                                        deb   CVE-2018-20839  Medium      0.7% (70th)    0.3           
libudev1            229-4ubuntu21.1                                        deb   CVE-2018-20839  Medium      0.7% (70th)    0.3           
systemd             229-4ubuntu21.1                                        deb   CVE-2018-20839  Medium      0.7% (70th)    0.3           
systemd-sysv        229-4ubuntu21.1                                        deb   CVE-2018-20839  Medium      0.7% (70th)    0.3           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.19       deb   CVE-2021-23841  Medium      0.7% (70th)    0.3           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.19       deb   CVE-2021-23841  Medium      0.7% (70th)    0.3           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-11236  Medium      0.7% (70th)    0.3           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-11236  Medium      0.7% (70th)    0.3           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-11236  Medium      0.7% (70th)    0.3           
sensible-utils      0.0.9                         0.0.9ubuntu0.16.04.1     deb   CVE-2017-17512  Medium      0.6% (68th)    0.3           
apt                 1.2.25                        1.2.32ubuntu0.1          deb   CVE-2020-3810   Medium      0.6% (68th)    0.3           
libapt-pkg5.0       1.2.25                        1.2.32ubuntu0.1          deb   CVE-2020-3810   Medium      0.6% (68th)    0.3           
libc-bin            2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-11237  Medium      0.6% (68th)    0.3           
libc6               2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-11237  Medium      0.6% (68th)    0.3           
multiarch-support   2.23-0ubuntu10                2.23-0ubuntu11.2         deb   CVE-2018-11237  Medium      0.6% (68th)    0.3           
libc-bin            2.23-0ubuntu10                (won't fix)              deb   CVE-2022-39046  Medium      0.6% (67th)    0.3           
libc6               2.23-0ubuntu10                (won't fix)              deb   CVE-2022-39046  Medium      0.6% (67th)    0.3           
multiarch-support   2.23-0ubuntu10                (won't fix)              deb   CVE-2022-39046  Medium      0.6% (67th)    0.3           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-3446   Low         0.9% (75th)    0.3           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-3446   Low         0.9% (75th)    0.3           
perl-base           5.22.1-9ubuntu0.2             (won't fix)              deb   CVE-2023-31486  Medium      0.6% (67th)    0.3           
e2fslibs            1.42.13-1ubuntu1              (won't fix)              deb   CVE-2022-1304   Medium      0.5% (66th)    0.3           
e2fsprogs           1.42.13-1ubuntu1              (won't fix)              deb   CVE-2022-1304   Medium      0.5% (66th)    0.3           
libcomerr2          1.42.13-1ubuntu1              (won't fix)              deb   CVE-2022-1304   Medium      0.5% (66th)    0.3           
libss2              1.42.13-1ubuntu1              (won't fix)              deb   CVE-2022-1304   Medium      0.5% (66th)    0.3           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.18       deb   CVE-2020-1971   High        0.3% (56th)    0.3           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.18       deb   CVE-2020-1971   High        0.3% (56th)    0.3           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0464   Low         0.9% (74th)    0.3           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0464   Low         0.9% (74th)    0.3           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.17       deb   CVE-2020-1968   Low         0.8% (74th)    0.3           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.17       deb   CVE-2020-1968   Low         0.8% (74th)    0.3           
libpcre3            2:8.38-3.1                                             deb   CVE-2017-7244   Low         0.8% (72nd)    0.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0217   Medium      0.4% (62nd)    0.2           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0217   Medium      0.4% (62nd)    0.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-4203   Medium      0.4% (62nd)    0.2           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2022-4203   Medium      0.4% (62nd)    0.2           
gnupg               1.4.20-1ubuntu3.1                                      deb   CVE-2019-13050  Low         0.7% (72nd)    0.2           
gpgv                1.4.20-1ubuntu3.1                                      deb   CVE-2019-13050  Low         0.7% (72nd)    0.2           
libprocps4          2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1124   Medium      0.4% (61st)    0.2           
procps              2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1124   Medium      0.4% (61st)    0.2           
libc-bin            2.23-0ubuntu10                                         deb   CVE-2019-25013  Low         0.7% (70th)    0.2           
libc6               2.23-0ubuntu10                                         deb   CVE-2019-25013  Low         0.7% (70th)    0.2           
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2019-25013  Low         0.7% (70th)    0.2           
libprocps4          2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1125   Medium      0.4% (60th)    0.2           
procps              2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1125   Medium      0.4% (60th)    0.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.14       deb   CVE-2018-5407   Low         0.6% (69th)    0.2           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.14       deb   CVE-2018-5407   Low         0.6% (69th)    0.2           
libgcrypt20         1.6.5-2ubuntu0.3              (won't fix)              deb   CVE-2021-33560  Low         0.6% (69th)    0.2           
login               1:4.2-3.1ubuntu5.3                                     deb   CVE-2017-12424  Low         0.6% (68th)    0.2           
passwd              1:4.2-3.1ubuntu5.3                                     deb   CVE-2017-12424  Low         0.6% (68th)    0.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0215   Medium      0.3% (56th)    0.2           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-0215   Medium      0.3% (56th)    0.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.19       deb   CVE-2021-23840  Low         0.6% (67th)    0.2           
openssl             1.0.2g-1ubuntu4.10            1.0.2g-1ubuntu4.19       deb   CVE-2021-23840  Low         0.6% (67th)    0.2           
libsystemd0         229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15687  Medium      0.3% (55th)    0.2           
libudev1            229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15687  Medium      0.3% (55th)    0.2           
systemd             229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15687  Medium      0.3% (55th)    0.2           
systemd-sysv        229-4ubuntu21.1               229-4ubuntu21.8          deb   CVE-2018-15687  Medium      0.3% (55th)    0.2           
libprocps4          2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1122   Medium      0.3% (54th)    0.2           
procps              2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1122   Medium      0.3% (54th)    0.2           
libncurses5         6.0+20160213-1ubuntu1                                  deb   CVE-2017-10684  Negligible  3.2% (86th)    0.2           
libncursesw5        6.0+20160213-1ubuntu1                                  deb   CVE-2017-10684  Negligible  3.2% (86th)    0.2           
libtinfo5           6.0+20160213-1ubuntu1                                  deb   CVE-2017-10684  Negligible  3.2% (86th)    0.2           
ncurses-base        6.0+20160213-1ubuntu1                                  deb   CVE-2017-10684  Negligible  3.2% (86th)    0.2           
ncurses-bin         6.0+20160213-1ubuntu1                                  deb   CVE-2017-10684  Negligible  3.2% (86th)    0.2           
libssl1.0.0         1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-6237   Low         0.5% (66th)    0.2           
openssl             1.0.2g-1ubuntu4.10            (won't fix)              deb   CVE-2023-6237   Low         0.5% (66th)    0.2           
libc-bin            2.23-0ubuntu10                                         deb   CVE-2022-23218  Low         0.5% (66th)    0.2           
libc6               2.23-0ubuntu10                                         deb   CVE-2022-23218  Low         0.5% (66th)    0.2           
multiarch-support   2.23-0ubuntu10                                         deb   CVE-2022-23218  Low         0.5% (66th)    0.2           
e2fslibs            1.42.13-1ubuntu1              1.42.13-1ubuntu1.1       deb   CVE-2019-5094   Medium      0.3% (53rd)    0.2           
e2fsprogs           1.42.13-1ubuntu1              1.42.13-1ubuntu1.1       deb   CVE-2019-5094   Medium      0.3% (53rd)    0.2           
libcomerr2          1.42.13-1ubuntu1              1.42.13-1ubuntu1.1       deb   CVE-2019-5094   Medium      0.3% (53rd)    0.2           
libss2              1.42.13-1ubuntu1              1.42.13-1ubuntu1.1       deb   CVE-2019-5094   Medium      0.3% (53rd)    0.2           
libprocps4          2:3.3.10-4ubuntu2.3           2:3.3.10-4ubuntu2.4      deb   CVE-2018-1126   Medium      0.3% (53rd)    0.2           
