NAME                     INSTALLED                          FIXED IN                           TYPE  VULNERABILITY     SEVERITY    EPSS           RISK          
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2021-46143    High        4.1% (88th)    3.1           
libnghttp2-14            1.18.1-1+deb9u1                    1.18.1-1+deb9u2                    deb   CVE-2018-1000168  High        4.1% (88th)    3.1           
perl-base                5.24.1-3+deb9u5                    5.24.1-3+deb9u7                    deb   CVE-2020-10543    High        3.9% (87th)    3.0           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2019-5827     High        3.7% (87th)    2.8           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2019-9936     High        3.4% (87th)    2.6           
libssl1.1                1.1.0l-1~deb9u1                    1.1.0l-1~deb9u5                    deb   CVE-2019-1551     Medium      4.8% (89th)    2.4           
openssl                  1.1.0l-1~deb9u1                    1.1.0l-1~deb9u5                    deb   CVE-2019-1551     Medium      4.8% (89th)    2.4           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2019-9937     High        3.2% (86th)    2.4           
libx11-6                 2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u4                   deb   CVE-2021-31535    Critical    2.6% (85th)    2.3           
libx11-data              2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u4                   deb   CVE-2021-31535    Critical    2.6% (85th)    2.3           
libx11-xcb1              2:1.6.4-3+deb9u1                   2:1.6.4-3+deb9u4                   deb   CVE-2021-31535    Critical    2.6% (85th)    2.3           
libgnutls30              3.5.8-5+deb9u4                                                        deb   CVE-2011-3389     Medium      4.6% (88th)    2.3           
libbsd0                  0.8.3-1                            0.8.3-1+deb9u1                     deb   CVE-2019-20367    Critical    2.4% (84th)    2.1           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2020-11655    High        2.8% (85th)    2.1           
bash                     4.4-5                                                                 deb   CVE-2019-18276    Negligible  40.0% (97th)   2.0           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u5                     deb   CVE-2022-23852    Critical    1.9% (82nd)    1.7           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2020-13871    High        2.2% (83rd)    1.6           
libgnutls30              3.5.8-5+deb9u4                     3.5.8-5+deb9u5                     deb   CVE-2019-3829     High        2.1% (83rd)    1.6           
libjpeg62-turbo          1:1.5.1-2                          1:1.5.1-2+deb9u2                   deb   CVE-2019-2201     High        2.1% (83rd)    1.5           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36229    High        2.0% (82nd)    1.5           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36229    High        2.0% (82nd)    1.5           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u6             deb   CVE-2017-5969     Medium      2.7% (85th)    1.4           
libbz2-1.0               1.0.6-8.1                          (won't fix)                        deb   CVE-2019-12900    Critical    1.4% (79th)    1.3           
curl                     7.52.1-5+deb9u10                                                      deb   CVE-2022-32206    Medium      2.2% (83rd)    1.3           
libcurl3                 7.52.1-5+deb9u10                                                      deb   CVE-2022-32206    Medium      2.2% (83rd)    1.3           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-6096     Low         4.1% (88th)    1.2           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-6096     Low         4.1% (88th)    1.2           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2020-6096     Low         4.1% (88th)    1.2           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2022-22822    Critical    1.3% (79th)    1.2           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u6             deb   CVE-2017-5130     High        1.4% (79th)    1.0           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2009-5155     High        1.4% (79th)    1.0           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2009-5155     High        1.4% (79th)    1.0           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2009-5155     High        1.4% (79th)    1.0           
dirmngr                  2.1.18-8~deb9u4                                                       deb   CVE-2022-34903    Medium      1.8% (82nd)    1.0           
gnupg                    2.1.18-8~deb9u4                                                       deb   CVE-2022-34903    Medium      1.8% (82nd)    1.0           
gnupg-agent              2.1.18-8~deb9u4                                                       deb   CVE-2022-34903    Medium      1.8% (82nd)    1.0           
gpgv                     2.1.18-8~deb9u4                                                       deb   CVE-2022-34903    Medium      1.8% (82nd)    1.0           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-35942    Critical    1.1% (77th)    1.0           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-35942    Critical    1.1% (77th)    1.0           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-35942    Critical    1.1% (77th)    1.0           
libssl1.0.2              1.0.2u-1~deb9u1                    1.0.2u-1~deb9u6                    deb   CVE-2021-3712     High        1.3% (79th)    1.0           
libssl1.1                1.1.0l-1~deb9u1                    1.1.0l-1~deb9u4                    deb   CVE-2021-3712     High        1.3% (79th)    1.0           
openssl                  1.1.0l-1~deb9u1                    1.1.0l-1~deb9u4                    deb   CVE-2021-3712     High        1.3% (79th)    1.0           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36230    High        1.3% (78th)    1.0           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36230    High        1.3% (78th)    1.0           
libssh2-1                1.7.0-1+deb9u1                     1.7.0-1+deb9u2                     deb   CVE-2019-17498    High        1.3% (78th)    0.9           
libgssapi-krb5-2         1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-20217    Medium      1.6% (81st)    0.8           
libk5crypto3             1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-20217    Medium      1.6% (81st)    0.8           
libkrb5-3                1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-20217    Medium      1.6% (81st)    0.8           
libkrb5support0          1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-20217    Medium      1.6% (81st)    0.8           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-3999     High        1.0% (76th)    0.8           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-3999     High        1.0% (76th)    0.8           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2021-3999     High        1.0% (76th)    0.8           
libtiff5                 4.0.8-2+deb9u5                     4.0.8-2+deb9u7                     deb   CVE-2020-19144    Medium      1.5% (80th)    0.8           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-6485     Critical    0.7% (71st)    0.7           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-6485     Critical    0.7% (71st)    0.7           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-6485     Critical    0.7% (71st)    0.7           
libcroco3                0.6.11-3                           (won't fix)                        deb   CVE-2020-12825    Low         2.1% (83rd)    0.6           
libssl1.0.2              1.0.2u-1~deb9u1                    1.0.2u-1~deb9u4                    deb   CVE-2021-23840    High        0.8% (73rd)    0.6           
libssl1.1                1.1.0l-1~deb9u1                    1.1.0l-1~deb9u3                    deb   CVE-2021-23840    High        0.8% (73rd)    0.6           
openssl                  1.1.0l-1~deb9u1                    1.1.0l-1~deb9u3                    deb   CVE-2021-23840    High        0.8% (73rd)    0.6           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u3                    deb   CVE-2019-20218    High        0.8% (73rd)    0.6           
liblz4-1                 0.0~r131-2+b1                      (won't fix)                        deb   CVE-2019-17543    Low         2.0% (82nd)    0.6           
gzip                     1.6-5+b1                           1.6-5+deb9u1                       deb   CVE-2022-1271     High        0.7% (71st)    0.6           
liblzma5                 5.2.2-1.2+b1                       5.2.2-1.2+deb9u1                   deb   CVE-2022-1271     High        0.7% (71st)    0.6           
libcroco3                0.6.11-3                           (won't fix)                        deb   CVE-2017-8871     Low         1.9% (82nd)    0.6           
libpng16-16              1.6.28-1+deb9u1                    (won't fix)                        deb   CVE-2017-12652    Critical    0.6% (69th)    0.6           
login                    1:4.4-4.1                          1:4.4-4.1+deb9u1                   deb   CVE-2017-12424    Critical    0.6% (68th)    0.5           
passwd                   1:4.4-4.1                          1:4.4-4.1+deb9u1                   deb   CVE-2017-12424    Critical    0.6% (68th)    0.5           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u5               deb   CVE-2020-25692    High        0.7% (70th)    0.5           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u5               deb   CVE-2020-25692    High        0.7% (70th)    0.5           
libsqlite3-0             3.16.2-5+deb9u1                                                       deb   CVE-2020-11656    Negligible  9.4% (92nd)    0.5           
libsasl2-2               2.1.27~101-g0780600+dfsg-3+deb9u1  2.1.27~101-g0780600+dfsg-3+deb9u2  deb   CVE-2022-24407    High        0.6% (69th)    0.5           
libsasl2-modules-db      2.1.27~101-g0780600+dfsg-3+deb9u1  2.1.27~101-g0780600+dfsg-3+deb9u2  deb   CVE-2022-24407    High        0.6% (69th)    0.5           
librsvg2-2               2.40.16-1+b1                       2.40.21-0+deb9u1                   deb   CVE-2019-20446    Medium      0.9% (74th)    0.4           
librsvg2-common          2.40.16-1+b1                       2.40.21-0+deb9u1                   deb   CVE-2019-20446    Medium      0.9% (74th)    0.4           
libsqlite3-0             3.16.2-5+deb9u1                    3.16.2-5+deb9u2                    deb   CVE-2019-16168    Medium      0.9% (74th)    0.4           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36224    High        0.6% (67th)    0.4           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36225    High        0.6% (67th)    0.4           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36224    High        0.6% (67th)    0.4           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36225    High        0.6% (67th)    0.4           
libnghttp2-14            1.18.1-1+deb9u1                    1.18.1-1+deb9u2                    deb   CVE-2020-11080    High        0.6% (67th)    0.4           
libtiff5                 4.0.8-2+deb9u5                     4.0.8-2+deb9u7                     deb   CVE-2020-19131    High        0.6% (67th)    0.4           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2019-20388    High        0.6% (67th)    0.4           
libjpeg62-turbo          1:1.5.1-2                          1:1.5.1-2+deb9u1                   deb   CVE-2020-13790    High        0.5% (66th)    0.4           
libgcrypt20              1.7.6-2+deb9u3                     (won't fix)                        deb   CVE-2021-33560    High        0.5% (66th)    0.4           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2022-22823    Critical    0.4% (61st)    0.4           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2022-22824    Critical    0.4% (61st)    0.4           
libjpeg62-turbo          1:1.5.1-2                          1:1.5.1-2+deb9u1                   deb   CVE-2020-14152    High        0.5% (65th)    0.4           
e2fslibs                 1.43.4-2                           (won't fix)                        deb   CVE-2022-1304     High        0.5% (65th)    0.4           
e2fsprogs                1.43.4-2                           (won't fix)                        deb   CVE-2022-1304     High        0.5% (65th)    0.4           
libcomerr2               1.43.4-2                           (won't fix)                        deb   CVE-2022-1304     High        0.5% (65th)    0.4           
libss2                   1.43.4-2                           (won't fix)                        deb   CVE-2022-1304     High        0.5% (65th)    0.4           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-6551     Critical    0.4% (61st)    0.4           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-6551     Critical    0.4% (61st)    0.4           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2018-6551     Critical    0.4% (61st)    0.4           
curl                     7.52.1-5+deb9u10                   7.52.1-5+deb9u13                   deb   CVE-2020-8285     High        0.5% (65th)    0.4           
libcurl3                 7.52.1-5+deb9u10                   7.52.1-5+deb9u13                   deb   CVE-2020-8285     High        0.5% (65th)    0.4           
libtiff5                 4.0.8-2+deb9u5                     4.0.8-2+deb9u6                     deb   CVE-2020-35524    High        0.5% (64th)    0.4           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2022-23218    Critical    0.4% (60th)    0.4           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2022-23219    Critical    0.4% (60th)    0.4           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2022-23218    Critical    0.4% (60th)    0.4           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2022-23219    Critical    0.4% (60th)    0.4           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2022-23218    Critical    0.4% (60th)    0.4           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2022-23219    Critical    0.4% (60th)    0.4           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2017-18258    Medium      0.7% (71st)    0.4           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2020-7595     High        0.5% (63rd)    0.4           
libssl1.0.2              1.0.2u-1~deb9u1                    1.0.2u-1~deb9u4                    deb   CVE-2021-23841    Medium      0.7% (71st)    0.4           
libssl1.1                1.1.0l-1~deb9u1                    1.1.0l-1~deb9u3                    deb   CVE-2021-23841    Medium      0.7% (71st)    0.4           
openssl                  1.1.0l-1~deb9u1                    1.1.0l-1~deb9u3                    deb   CVE-2021-23841    Medium      0.7% (71st)    0.4           
libc-bin                 2.24-11+deb9u4                     (won't fix)                        deb   CVE-2019-25013    Medium      0.7% (70th)    0.3           
libc6                    2.24-11+deb9u4                     (won't fix)                        deb   CVE-2019-25013    Medium      0.7% (70th)    0.3           
multiarch-support        2.24-11+deb9u4                     (won't fix)                        deb   CVE-2019-25013    Medium      0.7% (70th)    0.3           
libjpeg62-turbo          1:1.5.1-2                          1:1.5.1-2+deb9u1                   deb   CVE-2018-1152     Medium      0.7% (70th)    0.3           
libgssapi-krb5-2         1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5730     Low         1.1% (77th)    0.3           
libk5crypto3             1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5730     Low         1.1% (77th)    0.3           
libkrb5-3                1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5730     Low         1.1% (77th)    0.3           
libkrb5support0          1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5730     Low         1.1% (77th)    0.3           
curl                     7.52.1-5+deb9u10                                                      deb   CVE-2022-27776    Medium      0.6% (69th)    0.3           
libcurl3                 7.52.1-5+deb9u10                                                      deb   CVE-2022-27776    Medium      0.6% (69th)    0.3           
dpkg                     1.18.25                            1.18.26                            deb   CVE-2022-1664     Critical    0.4% (57th)    0.3           
libldap-2.4-2            2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36226    High        0.4% (61st)    0.3           
libldap-common           2.4.44+dfsg-5+deb9u4               2.4.44+dfsg-5+deb9u7               deb   CVE-2020-36226    High        0.4% (61st)    0.3           
libgssapi-krb5-2         1.15-1+deb9u1                      (won't fix)                        deb   CVE-2017-11462    Low         1.1% (76th)    0.3           
libk5crypto3             1.15-1+deb9u1                      (won't fix)                        deb   CVE-2017-11462    Low         1.1% (76th)    0.3           
libkrb5-3                1.15-1+deb9u1                      (won't fix)                        deb   CVE-2017-11462    Low         1.1% (76th)    0.3           
libkrb5support0          1.15-1+deb9u1                      (won't fix)                        deb   CVE-2017-11462    Low         1.1% (76th)    0.3           
libgmp10                 2:6.1.2+dfsg-1                     2:6.1.2+dfsg-1+deb9u1              deb   CVE-2021-43618    High        0.4% (61st)    0.3           
libhogweed4              3.3-1+b2                           3.3-1+deb9u1                       deb   CVE-2021-20305    High        0.4% (59th)    0.3           
libnettle6               3.3-1+b2                           3.3-1+deb9u1                       deb   CVE-2021-20305    High        0.4% (59th)    0.3           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2018-14567    Medium      0.6% (68th)    0.3           
libgssapi-krb5-2         1.15-1+deb9u1                      1.15-1+deb9u2                      deb   CVE-2020-28196    High        0.4% (58th)    0.3           
libk5crypto3             1.15-1+deb9u1                      1.15-1+deb9u2                      deb   CVE-2020-28196    High        0.4% (58th)    0.3           
libkrb5-3                1.15-1+deb9u1                      1.15-1+deb9u2                      deb   CVE-2020-28196    High        0.4% (58th)    0.3           
libkrb5support0          1.15-1+deb9u1                      1.15-1+deb9u2                      deb   CVE-2020-28196    High        0.4% (58th)    0.3           
libgssapi-krb5-2         1.15-1+deb9u1                      (won't fix)                        deb   CVE-2018-5710     Medium      0.6% (67th)    0.3           
libk5crypto3             1.15-1+deb9u1                      (won't fix)                        deb   CVE-2018-5710     Medium      0.6% (67th)    0.3           
libkrb5-3                1.15-1+deb9u1                      (won't fix)                        deb   CVE-2018-5710     Medium      0.6% (67th)    0.3           
libkrb5support0          1.15-1+deb9u1                      (won't fix)                        deb   CVE-2018-5710     Medium      0.6% (67th)    0.3           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2021-45960    High        0.4% (58th)    0.3           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u3             deb   CVE-2020-24977    Medium      0.5% (66th)    0.3           
libxml2                  2.9.4+dfsg1-2.2+deb9u2             2.9.4+dfsg1-2.2+deb9u4             deb   CVE-2021-3516     High        0.4% (57th)    0.3           
curl                     7.52.1-5+deb9u10                                                      deb   CVE-2022-27774    Medium      0.5% (65th)    0.3           
libcurl3                 7.52.1-5+deb9u10                                                      deb   CVE-2022-27774    Medium      0.5% (65th)    0.3           
libcroco3                0.6.11-3                           (won't fix)                        deb   CVE-2017-8834     Low         0.8% (73rd)    0.2           
curl                     7.52.1-5+deb9u10                                                      deb   CVE-2022-27782    High        0.3% (53rd)    0.2           
libcurl3                 7.52.1-5+deb9u10                                                      deb   CVE-2022-27782    High        0.3% (53rd)    0.2           
libgssapi-krb5-2         1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2021-37750    Medium      0.5% (63rd)    0.2           
libk5crypto3             1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2021-37750    Medium      0.5% (63rd)    0.2           
libkrb5-3                1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2021-37750    Medium      0.5% (63rd)    0.2           
libkrb5support0          1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2021-37750    Medium      0.5% (63rd)    0.2           
libglib2.0-0             2.50.3-2+deb9u2                    2.50.3-2+deb9u3                    deb   CVE-2021-28153    Medium      0.4% (62nd)    0.2           
apt                      1.4.9                              1.4.10                             deb   CVE-2020-3810     Medium      0.4% (62nd)    0.2           
libapt-pkg5.0            1.4.9                              1.4.10                             deb   CVE-2020-3810     Medium      0.4% (62nd)    0.2           
libgssapi-krb5-2         1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5729     Medium      0.4% (62nd)    0.2           
libk5crypto3             1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5729     Medium      0.4% (62nd)    0.2           
libkrb5-3                1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5729     Medium      0.4% (62nd)    0.2           
libkrb5support0          1.15-1+deb9u1                      1.15-1+deb9u3                      deb   CVE-2018-5729     Medium      0.4% (62nd)    0.2           
libglib2.0-0             2.50.3-2+deb9u2                    2.50.3-2+deb9u3                    deb   CVE-2021-27219    High        0.3% (52nd)    0.2           
libodbc1                 2.3.4-1                            (won't fix)                        deb   CVE-2018-7409     Critical    0.2% (46th)    0.2           
libexpat1                2.2.0-2+deb9u3                     2.2.0-2+deb9u4                     deb   CVE-2022-22827    High        0.3% (51st)    0.2           
libssl1.0.2              1.0.2u-1~deb9u1                    1.0.2u-1~deb9u2                    deb   CVE-2020-1968     Low         0.7% (70th)    0.2           
curl                     7.52.1-5+deb9u10                                                      deb   CVE-2022-22576    High        0.3% (50th)    0.2           
libcurl3                 7.52.1-5+deb9u10                                                      deb   CVE-2022-22576    High        0.3% (50th)    0.2           
librsvg2-2               2.40.16-1+b1                       2.40.21-0+deb9u1                   deb   CVE-2017-11464    High        0.3% (50th)    0.2           
librsvg2-common          2.40.16-1+b1                       2.40.21-0+deb9u1                   deb   CVE-2017-11464    High        0.3% (50th)    0.2           
